nctid	criterion	cluster
NCT02524665	Two forms of reliable nonhormonal contraception, to include the use of either an intrauterine device plus a reliable barrier method or 2 reliable barrier methods. Reliable barrier methods include condoms or diaphragms. A cervical cap is also a reliable barrier method, provided that the female subject has never given birth naturally. The combined use of a condom and spermicide constitute 2 forms of acceptable nonhormonal contraception, provided that they are both used properly. The use of spermicide alone and the improper use of condoms are inferior methods of contraception. Subjects with surgical sterilization, including tubal sterilization or partner's vasectomy, must use a form of nonhormonal contraception. A barrier method or sterilization plus spermatocide is acceptable.	16
NCT02524665	Women who are not currently sexually active must agree to use a medically accepted method of contraception should she become sexually active while participating in the study.	16
NCT02525094	AD meeting Hanifin and Rajka criteria	15
NCT02525094	Age 18-75 years inclusive at screening	28
NCT02525094	Atopic dermatitis that affects greater than/equal to 10% body surface area	15
NCT02525094	Moderate to severe AD	15
NCT02525094	Effective birth control in line with protocol details	16
NCT02525159	Postmenopausal woman	15
NCT02525159	Not pregnant or planning to become pregnant	26
NCT02525159	That are not nursing	15
NCT02525159	Nonsmokers	15
NCT02525159	No alcohol addiction	15
NCT02525159	Regular menstrual cycles	15
NCT02525159	2-hydroxyestrone /16 urinary ratio less or equal to 0.9	15
NCT02525822	Male or female at least 12 years of age and older	18
NCT02525822	Written and verbal informed consent must be obtained	17
NCT02525822	Subject must have a score of moderate or severe on the Evaluator's Global Severity assessment	15
NCT02525822	Pre-menses females and women of childbearing potential must have a negative urine pregnancy test at the screening and baseline visits	7
NCT02525822	Subjects must be willing to comply with study instructions and return to the clinic for required visits	15
NCT02526498	Must sign informed consent	22
NCT02526498	Surgical treatment of the breast must have been lumpectomy; the margins of the resected specimen must be histologically free of tumor (negative surgical margins per National Surgical Adjuvant Breast and Bowel Project \[NSABP\] criteria)	15
NCT02526498	On histologic examination, the tumor must be ductal carcinoma in situ (DCIS) and/or invasive breast carcinoma	15
NCT02526498	For patients with invasive breast cancer, an axillary staging procedure must be performed (either sentinel node biopsy \[SNB\] alone or axillary dissection \[with a minimum of six axillary nodes removed\], and the axillary node\[s\] must be pathologically negative); patients over 70 with estrogen receptor positive (ER+) tumors no greater than 2 cm do not require axillary evaluation, but MUST be clinically node negative on examination and all available imaging (clinical N0)	0
NCT02526498	The T stage must be Tis, T1, or T2; if T2, the tumor must be =\< 3.0 cm in maximum diameter	15
NCT02526498	Estrogen receptor positive tumor and/or progesterone receptor positive tumor	0
NCT02531009	Healthy volunteers	15
NCT02531009	Must be in good health as determined by the Investigator, based on medical history, physical examination, and vital signs. Participants with diffuse cutaneous systemic sclerosis (dcSSc):	15
NCT02531009	Must fulfill the 2013 classification criteria for SSc of the American College of Rheumatology (ACR) and European League Against Rheumatism (EULAR).	15
NCT02531009	Absence of the anti-centromere autoantibody. Participants with limited cutaneous systemic sclerosis (lcSSc):	15
NCT02531009	Must fulfill the 2013 classification criteria for SSc of the ACR and EULAR.	15
NCT02531009	Subjects with lcSSc must have disease duration of less than 5 years. Key	15
NCT02531633	Diagnosis of GCA defined by the following Revised GCA Diagnosis Criteria: Age \>=50 years. History of ESR \>=50 millimeter/hour (mm/hour) or CRP \>=2.45 milligram/deciliter(mg/dL). Presence of at least one of the following: Unequivocal cranial symptoms of GCA; Unequivocal symptoms of polymyalgia rheumatic (PMR). Presence of at least one of the following: Temporal artery biopsy revealing features of GCA; Evidence of large-vessel vasculitis by angiography or cross-sectional imaging.	15
NCT02531633	Active GCA within 6 weeks of Randomization (Baseline) where active disease is defined by an ESR \>=30 mm/hr or CRP \>=1 mg/dL AND the presence of at least one of the following: Unequivocal cranial symptoms of GCA; Unequivocal symptoms of PMR; Other features judged by the clinician investigator to be consistent with GCA or PMR flares.	15
NCT02531633	At screening, receiving or able to receive prednisone 20-60 mg/day for the treatment of active GCA.	15
NCT02531633	Clinically stable GCA disease at baseline such that the subject is able to safely participate in the blinded prednisone taper regimen in the opinion of the investigator.	15
NCT02531633	Practicing acceptable methods of birth control if a female of child-bearing potential.	16
NCT02531633	No evidence of active or latent infection with Mycobacterium tuberculosis (TB).	15
NCT02534129	Female patients 18 years and older	18
NCT02534129	Pathologic diagnosis of breast cancer requiring radiation therapy to whole breast	4
NCT02534129	Able to apply lotion to treatment area at least twice daily during radiation course	15
NCT02534129	All surgical sites healed	15
NCT02534129	No evidence of infection	15
NCT02534129	No history of sensitivity to any component in Aquaphor or Difensa53	15
NCT02534428	mild to moderate eczema as determined by a SCORAD of 1-50 at their initial visit	15
NCT02534428	has a legally acceptable representative capable of understanding the informed consent document and providing consent on the participants behalf	22
NCT02534428	is capable of returning for review having had education through the Royal Children's Hospital eczema workshop	15
NCT02534441	Documentation of a previous contact allergy to one or more surfactant(s) on our screening series including:	15
NCT02534441	cocamidopropyl betaine	15
NCT02534441	stearamidopropyl dimethylamine	15
NCT02534441	dimethylaminopropylamine	15
NCT02534441	coconut diethanolamide	15
NCT02534441	oleamidopropyl dimethylamine, and	15
NCT02534441	decyl glucoside	15
NCT02534441	Age 18 years or greater.	28
NCT02535962	diagnosis or confirmation of diagnosis of PFAPA from Dr. Bennett based on clinical or laboratory data	15
NCT02535962	is or will be undergoing treatment for PFAPA at CCMC	14
NCT02535962	agrees to the consent and, if necessary, assent forms	15
NCT02535962	is between 1 and 12 years of age	28
NCT02537483	Male or female at least 9 years of age and older	18
NCT02537483	Written and verbal informed consent must be obtained.	17
NCT02537483	Subject must have a score of moderate or severe on the Evaluator's Global Severity assessment at the screening and baseline visit	15
NCT02537483	Pre-menses females and women of childbearing potential must have a negative urine pregnancy test at screening and baseline visits	7
NCT02537483	Subjects must be willing to comply with study instructions and return to the clinic for required visits.	15
NCT02539615	Healthy, female, age 30-55 years, from whom bi-lateral specimens can be obtained. The following additional considerations apply:	15
NCT02539615	Women with prior mastectomy/lumpectomy may be considered for NAF-collection in the contralateral (non-operated) breast only if they were:	15
NCT02539615	Stage I or Stage II at the time of surgery;	25
NCT02539615	Have completed any and all hormonal therapy, chemotherapy, or targeted therapy at least one year prior to inclusion;	14
NCT02539615	Are considered disease-free (NED- No Evidence of Disease) at the time of study entry;	15
NCT02539615	Women under the age 30 may be enrolled if they are within 10 years of the age at diagnosis of breast cancer in a first-degree relative. No subject under the age of 21 may be enrolled.	4
NCT02539615	Any woman for whom NAF-cytology testing is considered to be beneficial by her physician. This includes, but is not limited to women with first- and/or second degree relatives with breast- or ovarian cancer. Known presence of a BRCA-1 or BRCA-2 germline mutation is allowed but not required. If known, any such mutation will be noted on the Case Report Form. The protocol does not provide for testing of women without known germ-line mutations.	15
NCT02539615	Non-lactating and non-pregnant.	26
